unit_id,housing_type_id,housing_type_name,municipality,provider,bedrooms,accessibility,availability_status,notes
UNIT-E0001,HT-E02,Transitional housing,Hope,Mission Housing Assoc.,2,Standard,Available,
UNIT-E0002,HT-E03,Assisted living,Abbotsford,Faith-based Housing Partner,3,Standard,Available,
UNIT-E0003,HT-E04,Co-op housing,Hope,High Priority Housing Society,1,Standard,Available,
UNIT-E0004,HT-E05,Family supportive housing,Abbotsford,Abbotsford Community Housing,2,Standard,Available,
UNIT-E0005,HT-E06,Justice re-entry housing,Hope,BC Housing (Fraser),3,Ground-level,Available,
UNIT-E0006,HT-E07,Subsidized rental,Abbotsford,Fraser Valley Housing Society,1,Standard,Available,
UNIT-E0007,HT-E08,Supportive housing,Hope,Chilliwack Community Services,2,Standard,Available,
UNIT-E0008,HT-E09,Transitional housing,Abbotsford,Mission Housing Assoc.,3,Standard,Available,
UNIT-E0009,HT-E10,Assisted living,Hope,Faith-based Housing Partner,1,Standard,Available,
UNIT-E0010,HT-E11,Co-op housing,Abbotsford,High Priority Housing Society,2,Ground-level,Available,
UNIT-E0011,HT-E12,Family supportive housing,Hope,Abbotsford Community Housing,3,Standard,Available,
UNIT-E0012,HT-E13,Justice re-entry housing,Abbotsford,BC Housing (Fraser),1,Standard,Available,
UNIT-E0013,HT-E14,Subsidized rental,Hope,Fraser Valley Housing Society,2,Standard,Available,
UNIT-E0014,HT-E15,Supportive housing,Abbotsford,Chilliwack Community Services,3,Standard,Available,
UNIT-E0015,HT-E16,Transitional housing,Hope,Mission Housing Assoc.,1,Ground-level,Available,
UNIT-E0016,HT-E17,Assisted living,Abbotsford,Faith-based Housing Partner,2,Standard,Available,
UNIT-E0017,HT-E18,Co-op housing,Hope,High Priority Housing Society,3,Standard,Available,
UNIT-E0018,HT-E19,Family supportive housing,Abbotsford,Abbotsford Community Housing,1,Standard,Available,
UNIT-E0019,HT-E20,Justice re-entry housing,Hope,BC Housing (Fraser),2,Standard,Available,
UNIT-E0020,HT-E21,Subsidized rental,Abbotsford,Fraser Valley Housing Society,3,Ground-level,Available,
UNIT-E0021,HT-E22,Supportive housing,Hope,Chilliwack Community Services,1,Standard,Available,
UNIT-E0022,HT-E23,Transitional housing,Abbotsford,Mission Housing Assoc.,2,Standard,Available,
UNIT-E0023,HT-E24,Assisted living,Hope,Faith-based Housing Partner,3,Standard,Available,
UNIT-E0024,HT-E25,Co-op housing,Abbotsford,High Priority Housing Society,1,Standard,Available,
UNIT-E0025,HT-E26,Family supportive housing,Hope,Abbotsford Community Housing,2,Ground-level,Available,
UNIT-E0026,HT-E27,Justice re-entry housing,Abbotsford,BC Housing (Fraser),3,Standard,Available,
UNIT-E0027,HT-E28,Subsidized rental,Hope,Fraser Valley Housing Society,1,Standard,Available,
UNIT-E0028,HT-E29,Supportive housing,Abbotsford,Chilliwack Community Services,2,Standard,Available,
UNIT-E0029,HT-E30,Transitional housing,Hope,Mission Housing Assoc.,3,Standard,Available,
UNIT-E0030,HT-E31,Assisted living,Abbotsford,Faith-based Housing Partner,1,Ground-level,Available,
UNIT-E0031,HT-E32,Co-op housing,Hope,High Priority Housing Society,2,Standard,Available,
UNIT-E0032,HT-E33,Family supportive housing,Abbotsford,Abbotsford Community Housing,3,Standard,Available,
UNIT-E0033,HT-E34,Justice re-entry housing,Hope,BC Housing (Fraser),1,Standard,Available,
UNIT-E0034,HT-E35,Subsidized rental,Abbotsford,Fraser Valley Housing Society,2,Standard,Available,
UNIT-E0035,HT-E36,Supportive housing,Hope,Chilliwack Community Services,3,Ground-level,Available,
UNIT-E0036,HT-E37,Transitional housing,Abbotsford,Mission Housing Assoc.,1,Standard,Available,
UNIT-E0037,HT-E38,Assisted living,Hope,Faith-based Housing Partner,2,Standard,Available,
UNIT-E0038,HT-E39,Co-op housing,Abbotsford,High Priority Housing Society,3,Standard,Available,
UNIT-E0039,HT-E40,Family supportive housing,Hope,Abbotsford Community Housing,1,Standard,Available,
UNIT-E0040,HT-E41,Justice re-entry housing,Abbotsford,BC Housing (Fraser),2,Ground-level,Available,
UNIT-E0041,HT-E42,Subsidized rental,Hope,Fraser Valley Housing Society,3,Standard,Available,
UNIT-E0042,HT-E43,Supportive housing,Abbotsford,Chilliwack Community Services,1,Standard,Available,
UNIT-E0043,HT-E44,Transitional housing,Hope,Mission Housing Assoc.,2,Standard,Available,
UNIT-E0044,HT-E45,Assisted living,Abbotsford,Faith-based Housing Partner,3,Standard,Available,
UNIT-E0045,HT-E46,Co-op housing,Hope,High Priority Housing Society,1,Ground-level,Available,
UNIT-E0046,HT-E47,Family supportive housing,Abbotsford,Abbotsford Community Housing,2,Standard,Available,
UNIT-E0047,HT-E48,Justice re-entry housing,Hope,BC Housing (Fraser),3,Standard,Available,
UNIT-E0048,HT-E49,Subsidized rental,Abbotsford,Fraser Valley Housing Society,1,Standard,Available,
UNIT-E0049,HT-E50,Supportive housing,Hope,Chilliwack Community Services,2,Standard,Available,
UNIT-E0050,HT-E51,Transitional housing,Abbotsford,Mission Housing Assoc.,3,Ground-level,Available,
